id,category,subcategory,brand,colour,pattern,formality,season,hue,value,chroma,temp,hex,fabric,texture,layer,needs_base,formality_rank,warmth,fit_cut,hem,palette,silhouette,ring_fence,provenance,fit,condition,acquired,availability,verdict,flag_notes,open_question
17,Footwear,Trainers,Adidas,Beige / red / navy,Colour-block,Casual,All year,navy,D,MUTED,COOL,#1e2a44,leather,FLAT,SHOE,N,2,2,REGULAR,N/A,FAIL,OK,CASUAL,E,,Good,,available,KEEP,Colour-block fails the solid-only rule. KEPT ON PAVLOS OVERRIDE - new and draws positive comment,
20,Accessories,Sunglasses,Jimmy Fairly,Tortoise / brown,Solid,All,Spring/Summer,brown,D,MUTED,WARM,#5a4030,other,FLAT,N/A,N,3,2,REGULAR,N/A,STRONG,OK,NONE,C,,Good,,available,KEEP,Correct scale and tone,
21,Outerwear,Blazer,Adam Waite,Dark olive,Solid,Smart,Autumn/Winter,olive,D,MUTED,WARM,#454a34,corduroy,PILE,OUTER,N,4,4,SLIM,OK,STRONG,OK,NONE,E,Made to measure - length doctrine satisfied,Good,,available,KEEP,MADE TO MEASURE. UNDER-USED - best colour family and cut to him. Work it harder,
22,Outerwear,Waistcoat,Adam Waite,Dark olive,Solid,Smart,Autumn/Winter,olive,D,MUTED,WARM,#454a34,corduroy,PILE,MID,N,4,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Waistcoat helps the vertical line,
23,Outerwear,Blazer,Etro,Purple velvet,Solid,Formal (evening),Autumn/Winter,purple,D,SATURATED,COOL,#3d2b40,velvet,PILE,OUTER,N,6,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,FIELD-TESTED black-tie anchor. Purple velvet smoking jacket worn successfully to multiple events,
24,Outerwear,Unstructured jacket,Soloio Weekend,Navy blue,Solid,Casual,All year,navy,D,MUTED,COOL,#1e2a44,corduroy,PILE,OUTER,N,2,4,RELAXED,UNKNOWN,STRONG,OK,CASUAL,C,,Good,,available,KEEP,"NAVY not brown - the record was corrected 17 Aug. RELAXED cut and reads too vintage for the office. Casual and weekend only; never office, never client-facing. Coral gingham lining",Colour is provenance C - confirm in daylight
25,Outerwear,Bomber jacket,Ted Baker,Faded navy,Solid,Casual,Spring/Autumn,navy,D,MUTED,COOL,#1e2a44,cotton,FLAT,OUTER,N,2,3,REGULAR,UNKNOWN,STRONG,OK,NONE,E,,Good,,available,KEEP,Lightweight zip bomber. Orange paisley lining concealed,
26,Outerwear,Overshirt,Mr. P,Dark royal blue,Solid,Casual,Autumn/Winter,blue,D,SATURATED,COOL,#2b3d57,corduroy,PILE,OUTER,N,2,4,REGULAR,UNKNOWN,OK,OK,NONE,E,,Good,,available,KEEP,MERGED with old row 89. Thick corduroy. The winter overshirt,
27,Shirts,Casual shirt,Costume National,Light blue,Solid,Smart casual,All year,blue,L,MUTED,COOL,#b9c9d9,cotton,FLAT,MID,N,3,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,,
28,Tops,Polo,Officine Generale,Navy,Solid,Smart casual,Spring/Summer,navy,D,MUTED,COOL,#1e2a44,cotton,FLAT,MID,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,,
29,Shirts,Band collar shirt,Officine Generale,Light grey,Solid,Smart casual,All year,grey,L,NEUTRAL,COOL,#cfd0cf,cotton,FLAT,MID,N,3,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,,
31,Shirts,Denim shirt,ARKET,Dark denim blue,Solid,Casual,All year,blue,D,MUTED,COOL,#35506e,denim,TEXTURED,MID,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,PROPER DENIM - the casual one. Distinct from 92,
33,Tops,T-shirt,American Vintage,Dark olive,Solid,Casual,All year,olive,D,MUTED,WARM,#454a34,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,,
36,Trousers,Chinos,Weekday,Tan,Solid,Casual,Spring/Summer,tan,M,MUTED,WARM,#a97c4e,cotton,FLAT,BOTTOM,N,2,2,RELAXED,PLAIN,STRONG,OK,CASUAL,E,,Good,,available,KEEP,"Wide leg fights the frame - do not rebuy the cut. Casual and WFH only, never client days",
37,Knitwear,Zip hoodie,American Vintage,Rust,Solid,Casual,Autumn/Winter,rust,M,MUTED,WARM,#a4552e,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,STRONG,OFF-BRIEF,CASUAL,E,,Good,,available,KEEP,Great colour wrong garment,
38,Trousers,Jeans,All Saints,Faded black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#232227,denim,TEXTURED,BOTTOM,N,2,2,REGULAR,PLAIN,OK,OK,NONE,E,,Good,,available,KEEP,IN HEAVY ROTATION - current favourite,
43,Shorts,Swim shorts,Love Brand & Co,Black / white,Palm print,Casual,Summer,black,D,NEUTRAL,NEUTRAL,#16171a,cotton,FLAT,BOTTOM,N,2,1,REGULAR,PLAIN,N/A,OK,NONE,C,,Good,,available,KEEP,Pattern acceptable on swimwear. ONLY PAIR OWNED - a second is on the buy plan,
44,Trousers,Jeans,All Saints,Stone,Solid,Casual,Spring/Summer,tan,L,NEUTRAL,WARM,#cfc4b0,denim,TEXTURED,BOTTOM,N,2,2,REGULAR,PLAIN,STRONG,OK,NONE,E,,Good,,available,KEEP,,
45,Trousers,Chinos,NN07,Tan,Solid,Smart casual,Spring/Summer,tan,M,MUTED,WARM,#a97c4e,cotton,FLAT,BOTTOM,N,3,2,REGULAR,TAILOR,STRONG,OK,NONE,E,,Good,,available,TAILOR,TAILOR TWICE - remove turn-ups AND let out the waist. EXCLUDED from generated looks until done,
46,Shorts,Casual shorts,Orlebar Brown,Cream / sand,Solid,Smart casual,Summer,cream,L,NEUTRAL,WARM,#e6d9bf,cotton,FLAT,BOTTOM,N,3,1,REGULAR,PLAIN,STRONG,OK,NONE,C,,Good,,available,KEEP,Colour corrected to cream/sand,
47,Shorts,Denim shorts,Love Brand & Co,Strong tan,Solid,Casual,Summer,tan,M,MUTED,WARM,#a97c4e,denim,TEXTURED,BOTTOM,N,2,1,REGULAR,PLAIN,STRONG,OK,NONE,C,,Good,,available,KEEP,Colour corrected - strong tan not mustard,Colour still provenance C - confirm in daylight
49,Trousers,Chinos,Frame,Beige,Solid,Smart casual,Spring/Summer,tan,L,MUTED,WARM,#c9b18c,denim,TEXTURED,BOTTOM,N,3,2,REGULAR,PLAIN,STRONG,OK,NONE,E,,Good,,available,KEEP,ALREADY TAILORED and in heavy rotation - proof that hemming works. ONE OF ONLY TWO ALL-YEAR ODD TROUSERS for client days (with 169),Measure flat across the waistband x2 - settles the body waist question
50,Trousers,Jeans,7 For All Mankind,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,denim,TEXTURED,BOTTOM,N,2,2,REGULAR,PLAIN,OK,OK,NONE,E,,Good,,available,KEEP,THE BLACK 7FAM. Lint magnet - carry a roller or avoid on client days. Distinct from 174 which is dark blue,
52,Trousers,Jeans,Frame,Washed black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#2b2a2e,denim,TEXTURED,BOTTOM,N,2,2,REGULAR,TAILOR,OK,OK,NONE,E,Good fit,Good - needs repair,,available,TAILOR,Needs a repair patch to the under-crotch. EXCLUDED from generated looks until done,
54,Tops,Sweater (fine knit),All Saints,Black melange,Solid,Casual,Autumn/Winter,black,D,MUTED,NEUTRAL,#2a2a2c,merino,TEXTURED,MID,N,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,THE MERINO BENCHMARK - buy new fine knits to this fit. Melange earns the black-at-the-face exemption the same way pile does,
55,Knitwear,Hoodie,Mr. P,Dark blue,Solid,Casual,Autumn/Winter,blue,D,MUTED,COOL,#2b3d57,knit,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,OK,OFF-BRIEF,CASUAL,E,,Good,,available,KEEP,Colour corrected from charcoal - bad photo,
56,Knitwear,Crewneck jumper,ARKET,Orange / salmon,Solid,Casual,Autumn/Winter,orange,M,SATURATED,WARM,#d4693f,cotton,FLAT,MID,N,2,3,REGULAR,N/A,FAIL,OFF-BRIEF,CASUAL,E,,Good,,available,KEEP,Warm-bright family that turns olive skin sallow. KEPT ON PAVLOS OVERRIDE - it is new,
57,Knitwear,Hoodie,J-Crew,Grey marl,Solid,Casual,Autumn/Winter,grey,M,NEUTRAL,COOL,#8f8f8d,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,FAIL,OFF-BRIEF,HOME,C,,Good,,available,KEEP,Mid-grey at the face merges with the hair. KEPT ON PAVLOS OVERRIDE,
58,Knitwear,Sweatshirt,M&S,Grey marl,Solid,Casual,Autumn/Winter,grey,M,NEUTRAL,COOL,#8f8f8d,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,FAIL,OFF-BRIEF,HOME,C,,Good,,retired,RETIRE,Weakest colour in the wardrobe. Retired 22 Aug 2026,
59,Knitwear,Sweatshirt,ARKET,Navy,Solid,Casual,Autumn/Winter,navy,D,NEUTRAL,NEUTRAL,#1e2a44,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,OK,OFF-BRIEF,CASUAL,E,,Good,,available,KEEP,Colour fine garment off-brief,
60,Knitwear,Sweatshirt,Maison Kitsune,Grey marl,Fox head graphic,Casual,Autumn/Winter,grey,M,NEUTRAL,COOL,#9a9a98,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,FAIL,OFF-BRIEF,HOME,E,,Good,,available,KEEP,"Home and private only - visible logo, kept for sentiment",
61,Knitwear,Sweatshirt,ARKET,Olive,Solid,Casual,Autumn/Winter,olive,M,MUTED,WARM,#5e6444,loopback,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,STRONG,OFF-BRIEF,CASUAL,E,,Good,,available,KEEP,Colour excellent garment off-brief,
62,Knitwear,Shawl collar cardigan,Scotch & Soda,Dark blue,Cable knit,Casual,Autumn/Winter,blue,D,MUTED,COOL,#2b3d57,wool,TEXTURED,OUTER,Y,2,3,REGULAR,N/A,OK,OFF-BRIEF,NONE,E,,Good,,available,KEEP,Colour corrected to dark blue. Chunky gauge adds bulk - TOP LAYER ONLY,
63,Knitwear,Jumper,All Saints,Cream,Waffle knit,Casual,Autumn/Winter,cream,L,NEUTRAL,WARM,#e6d9bf,wool,TEXTURED,MID,N,2,3,REGULAR,N/A,STRONG,OFF-BRIEF,NONE,E,,Good,,available,KEEP,Great colour - too bulky to layer under a jacket,
64,Tops,T-shirt,ARKET,White,Solid,Casual,Spring/Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,2026,available,KEEP,170gsm Regular size XS,
65,Tops,T-shirt,ARKET,White,Solid,Casual,Spring/Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,2026,available,KEEP,170gsm Regular size XS - second of pair,
66,Tops,T-shirt,ARKET,White,Solid,Casual,Spring/Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,STRONG,OK,NONE,E,,Good,2026,available,KEEP,220gsm RELAXED - PREFERRED FIT,
67,Tops,T-shirt,ARKET,White,Solid,Casual,Spring/Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,STRONG,OK,NONE,E,,Good,2026,available,KEEP,220gsm RELAXED - second of pair,
68,Tops,Tank top,ARKET,White,Ribbed,Casual,Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,BASE,N,2,1,REGULAR,N/A,STRONG,OK,NONE,E,Size XS - confirmed but TIGHT,Good,2026,available,CHECK,101 arrived in size S as the correction. Wear both then decide,Retires if 101 in S is the better fit
69,Shorts,Casual shorts,ARKET,Beige,Solid,Smart casual,Summer,cream,L,NEUTRAL,WARM,#e6d9bf,linen,TEXTURED,BOTTOM,N,3,1,REGULAR,PLAIN,STRONG,OK,NONE,A,,Good,2026,available,KEEP,Linen size XS,
70,Footwear,Trainers,Axel Arigato,White,Solid,Smart casual,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,leather,FLAT,SHOE,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,Size 6 - the sneaker size reference,New,2026,available,KEEP,The plain Clean 90. KEY ASSET - default shoe,
71,Footwear,Flip-flops,Havaianas,Black,Solid,Casual,Summer,black,D,NEUTRAL,NEUTRAL,#16171a,other,FLAT,SHOE,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Colour confirmed black,
72,Shirts,Linen shirt,Orlebar Brown,White,Solid,Smart casual,Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,linen,TEXTURED,MID,N,3,1,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,"Justin Lino in White, size XS",
74,Knitwear,Wool jersey,ARKET,Light blue,Solid,Casual,Autumn/Winter,blue,L,MUTED,COOL,#b9c9d9,wool,TEXTURED,MID,N,2,3,REGULAR,N/A,OK,OK,NONE,E,,Good,2025,available,KEEP,"Wool jumper size S. A FINE GAUGE, not a heavy winter knit",
75,Knitwear,Oversize jumper,ARKET,Cream,Solid,Casual,Autumn/Winter,cream,L,NEUTRAL,WARM,#e6d9bf,loopback,TEXTURED,MID,N,2,3,RELAXED,N/A,WEAK,OFF-BRIEF,CASUAL,A,,Good,2025,available,KEEP,"Weak on cut not colour. Casual only - home, drinks, weekends",
77,Accessories,Jewellery,Cavaier,Black,Solid,All,All year,black,D,NEUTRAL,NEUTRAL,#16171a,other,FLAT,N/A,N,3,2,REGULAR,N/A,OK,OK,NONE,A,,New - on order,2026,incoming,KEEP,3x Minimal Stack Set Black/Small. Order 58367. Ordered 18 Aug 2026,
78,Trousers,Tracksuit bottoms,Mr. P,Dark blue,Solid,Loungewear,All year,blue,D,MUTED,COOL,#2b3d57,cotton,FLAT,BOTTOM,N,1,2,REGULAR,PLAIN,OK,N/A,HOME,E,,Good,,available,KEEP,Never an outfit item,
79,Trousers,Tracksuit bottoms,Diesel,Dark blue,Solid,Loungewear,All year,blue,D,MUTED,COOL,#2b3d57,cotton,FLAT,BOTTOM,N,1,2,REGULAR,PLAIN,OK,N/A,HOME,E,,Good,,available,KEEP,Check for visible branding,
80,Trousers,Tracksuit bottoms,Diesel,Light grey,Solid,Loungewear,All year,grey,L,NEUTRAL,COOL,#c8c3b8,cotton,FLAT,BOTTOM,N,1,2,REGULAR,PLAIN,WEAK,N/A,HOME,E,,Good,,available,KEEP,,
81,Outerwear,Blazer (suit),The Kooples,Dark grey,Solid,Formal,All year,grey,D,NEUTRAL,NEUTRAL,#4e5157,wool,FLAT,OUTER,N,4,3,SLIM,UNKNOWN,STRONG,OK,NONE,E,Shoulder 39cm - 2.5cm narrow. Reads tight,Good,,available,KEEP,Cut marked Fitted. Board dinners and funerals. THIS IS WHAT 'too small in the shoulder' MEASURES LIKE,
82,Trousers,Suit trousers,The Kooples,Dark grey,Solid,Formal,All year,grey,D,NEUTRAL,NEUTRAL,#4e5157,wool,FLAT,BOTTOM,N,4,2,REGULAR,PLAIN,STRONG,CHECK,NONE,E,,Good,,available,KEEP,SUIT-LOCKED with 81. NOT an odd-trouser option for client days,
83,Outerwear,Blazer (suit),Sandro,Sand / cream,Solid,Smart casual,Summer,cream,L,NEUTRAL,WARM,#e6d9bf,linen,TEXTURED,OUTER,N,4,3,REGULAR,UNKNOWN,STRONG,CHECK,NONE,E,,Good,,available,KEEP,Classic Linen Suit Jacket in SAND. Jacket of the linen suit with 84,Length unknown - hem is UNKNOWN and it is part of the outerwear worn-shot job
84,Trousers,Suit trousers,Sandro,Sand / cream,Solid,Smart casual,Summer,cream,L,NEUTRAL,WARM,#e6d9bf,linen,TEXTURED,BOTTOM,N,4,1,REGULAR,PLAIN,STRONG,CHECK,NONE,E,,Good,,available,KEEP,THE EXCEPTION TO THE SUIT-LOCK RULE - these do work as separates. SUMMER ONLY,
85,Shirts,Overshirt (linen),ARKET,Dark olive,Solid,Casual,Summer,olive,D,MUTED,WARM,#454a34,linen,TEXTURED,OUTER,N,2,1,RELAXED,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,THE SUMMER OVERSHIRT,
86,Shirts,Corduroy shirt,Rag & Bone,Charcoal,Solid,Smart casual,Autumn/Winter,charcoal,D,NEUTRAL,NEUTRAL,#3a3d42,corduroy,PILE,MID,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Fine corduroy - texture over pattern. THE CHARCOAL BENCHMARK,
87,Shirts,Work shirt,Officine Generale,White,Solid,Smart,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,MID,N,4,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Crisp white business shirt,
88,Shirts,Work shirt,Officine Generale,Light blue,Fine stripe,Smart,All year,blue,L,MUTED,COOL,#aec4dd,cotton,FLAT,MID,N,4,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Fine stripe is the business-shirt exception to solid-only,
90,Shirts,Casual shirt,Officine Generale,White,Solid,Smart casual,Autumn/Winter,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,MID,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Thicker material. Fake chest pocket with thin black trim,
91,Shirts,Work shirt,Adam Waite,White,Solid,Smart,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,MID,N,4,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Second crisp white business shirt,
92,Shirts,Denim shirt,Officine Generale,Light chambray blue,Solid,Casual,All year,blue,L,MUTED,COOL,#a8c0d8,denim,TEXTURED,MID,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Denim-COLOURED rather than true denim. White trim on chest pocket,
93,Shirts,Work shirt,The Kooples,Light blue,Solid,Smart,All year,blue,L,MUTED,COOL,#b9c9d9,cotton,FLAT,MID,N,4,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,,
94,Shirts,Kurta,Lemaire,White / grey,Stripe,Occasion,All year,grey,M,NEUTRAL,COOL,#8f8f8d,cotton,FLAT,MID,N,4,2,REGULAR,N/A,OK,OK,OCCASION,C,,Good,,available,KEEP,Indian occasions only,
95,Tops,T-shirt,ARKET,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#2b3d57,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,,
96,Tops,T-shirt,ARKET,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#2b3d57,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Second of pair. One of four near-identical dark blue tees with 96/98/99 - a duplication question,
97,Tops,T-shirt,ARKET,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,WEAK,OK,LAYER,E,,Good,,available,KEEP,"Flat cotton black at the collar. Solo is fine casually; layer under a jacket or overshirt where register matters. A preference, not a prohibition",
98,Tops,T-shirt,Officine Generale,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#2b3d57,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,OK,OFF-BRIEF,NONE,E,,Good,,available,KEEP,Loose cotton. Near-duplicate of 99,
99,Tops,T-shirt,American Vintage,Dark blue,Solid,Casual,All year,blue,D,MUTED,COOL,#2b3d57,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,OK,OFF-BRIEF,NONE,E,,Good,,available,KEEP,Near-duplicate of 98,
100,Tops,Polo,ARKET,Dark blue,Solid,Smart casual,Spring/Summer,blue,D,MUTED,COOL,#2b3d57,cotton,FLAT,MID,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Useful smart-casual piece,
101,Tops,Tank top,ARKET,White,Ribbed,Casual,Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,cotton,FLAT,BASE,N,2,1,REGULAR,N/A,STRONG,OK,NONE,E,Size S,New,2026,available,KEEP,Arrived 24 Aug 2026. The corrective sizing on 68 which is XS and tight,Confirm S is the right fit - if so 68 retires
102,Tops,T-shirt,ARKET,White,Solid,Casual,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,STRONG,OFF-BRIEF,NONE,E,,New,2026,available,KEEP,Arrived 24 Aug 2026. 220gsm Relaxed White XS - same spec as 66/67,
103,Tops,T-shirt,ARKET,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,WEAK,OFF-BRIEF,LAYER,E,,New,2026,available,KEEP,Arrived 24 Aug 2026. 220gsm Relaxed Black XS. Same black-at-the-face caveat as 97,
104,Tops,T-shirt,ARKET,Black,Solid,Casual,All year,black,D,NEUTRAL,NEUTRAL,#16171a,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,WEAK,OFF-BRIEF,LAYER,E,,New,2026,available,KEEP,Arrived 24 Aug 2026. Second black - 220gsm Relaxed XS,
105,Tops,T-shirt,ARKET,White,Solid,Casual,All year,white,L,NEUTRAL,NEUTRAL,#f7f5f0,jersey,FLAT,BASE,N,2,2,RELAXED,N/A,STRONG,OFF-BRIEF,NONE,E,,New,2026,available,KEEP,Arrived 24 Aug 2026. Second of the 220gsm Relaxed White XS pair - split out of the 102 order line so each garment has its own row,
106,Tops,T-shirt,ARKET,Cream / ecru,Solid,Casual,All year,cream,L,NEUTRAL,WARM,#e6d9bf,jersey,FLAT,BASE,N,2,2,REGULAR,N/A,STRONG,OFF-BRIEF,NONE,E,,New,2026,available,KEEP,"Arrived 24 Aug 2026. Off White ecru XS. THE ONLY WARM BASE LAYER OWNED - goes under 85, 145, 149 and 21. Field-proven 26 Aug: it is what makes an open olive layer work",
108,Footwear,Boots,Gianvito Rossi,Dark brown,Solid,Smart,Autumn/Winter,brown,D,MUTED,WARM,#5a4030,suede,PILE,SHOE,N,4,2,REGULAR,N/A,STRONG,OK,NONE,E,Size 6 - fits,Good,,available,KEEP,Brown-footwear gap closed. Matched to belt 129,
109,Footwear,Loafers,G.H. Bass (Weejuns),Dark brown,Solid,Smart casual,All year,brown,D,MUTED,WARM,#5a4030,leather,FLAT,SHOE,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,Size 6 - fits,Good,,available,KEEP,Dark brown penny loafers. Matched to belt 129,
110,Footwear,Formal lace-ups,TBC,Black,Solid,Formal,All year,black,D,NEUTRAL,NEUTRAL,#16171a,leather,FLAT,SHOE,N,5,2,REGULAR,N/A,OK,OK,NONE,E,,Good - replacement wanted,,available,KEEP,Slightly pointed last - likely oxfords. TAKES A BLACK-TIE POLISH - confirmed. Replacement is medium priority not urgent,
